miasto,n,mediana,srednia
GRODZTWO,12,459500.0,452666.6666666667
KAMIONKI MAŁE,12,300000.0,291583.3333333333
KIJASZKOWO,12,249500.0,251687.5
DOLNA GRUPA,12,395000.0,489583.3333333333
KAŁDUS,12,350000.0,276875.0
NICWAŁD,12,320000.0,295700.0
MIERUCIN,12,95000.0,111206.25
JORDANOWO,12,95000.0,146666.66666666666
JELEŃCZ,12,70000.0,76958.33333333333
CHRAPLEWO,12,83000.0,71500.0
PODOBOWICE,12,124400.0,135206.25
SZCZEPICE,12,145000.0,219208.33333333334
SŁUPY,12,115000.0,121625.0
BRZEŚĆ,12,86250.0,121541.66666666667
WAŁDOWO,12,162500.0,227666.66666666666
CZARŻE,12,255000.0,303774.1666666667
POLSKIE ŁĄKI,12,197500.0,169287.5
BĄKOWO,12,116500.005,136029.00083333332
STĄŻKI,12,58410.0,93921.66666666667
BOŻENKOWO,12,251500.0,285358.3333333333
ZIELNOWO,11,150000.0,191727.27272727274
ŁYSININ,11,199000.0,190090.9090909091
GROCHOLIN,11,120000.0,161990.9090909091
ŁACHOWO,11,180000.0,149331.51545454544
ŻALNO,11,200000.0,215000.0
BOCHLIN,11,160000.0,203386.63636363635
ŻURCZYN,11,153000.0,145272.72727272726
WAŁKOWISKA,11,195000.0,250636.36363636365
TWARDA GÓRA,11,100000.0,114018.18181818182
AUGUSTOWO,11,350300.0,359145.45454545453
KONSTANCJEWO,11,135000.0,148909.0909090909
DĘBIENIEC,11,145000.0,220909.0909090909
KRÓLIKOWO,11,135000.0,200116.94363636363
LNIANO,11,245000.0,283090.9090909091
LUBANIA LIPINY,11,170000.0,153818.18181818182
LACHMIROWICE,11,75000.0,85844.77272727272
DULSK,11,90000.0,79272.72727272728
PLEWO,11,100000.0,123315.09090909091
RUCEWO,11,300000.0,308181.8181818182
ROBAKOWO,11,150000.0,201090.9090909091
PAWŁÓWEK,11,560000.0,467181.8181818182
ZELGNO,11,93000.0,136818.18181818182
BRZEŹNO,11,220000.0,307248.8181818182
DWORZYSKO,11,380000.0,348636.36363636365
LUBASZCZ,11,150000.0,168099.50272727272
PIŁA,11,300000.0,336636.36363636365
RYWAŁD,11,150000.0,166711.46181818182
GAWŁOWICE,11,55000.0,90863.63636363637
GLINKI,11,110000.0,122898.18181818182
JADOWNIKI RYCERSKIE,11,170000.0,166909.0909090909
BĄGART,11,70000.0,126363.63636363637
SAMOCIĄŻEK,11,169000.0,330909.0909090909
OLSZEWKA,11,175000.0,184363.63727272727
MINISZEWO,11,30000.0,104727.38272727272
MIRAKOWO,11,180000.0,265363.63636363635
MIERZWIN,11,528000.0,465636.36363636365
JANOWO,11,350000.0,433181.8181818182
ŁABISZYN-WIEŚ,10,435000.0,446800.0
ŁOWIN,10,147750.0,221250.0
BIAŁOWIEŻA,10,192000.0,165700.0
ŚWIĘTOSŁAW,10,141000.0,231006.5
BOŻEJEWICE,10,11234.0,62703.2
WAŁDOWO KRÓLEWSKIE,10,350500.0,364350.0
GUTOWO,10,123500.0,226576.602
BOŻEJEWICZKI,10,162000.0,186771.0
GRZYBNO,10,80000.0,140900.0
ZŁOTOWO,10,82418.9,142243.78
BIEŃKÓWKA,10,178500.0,193700.0
BIELAWY,10,260000.0,230430.0
SUCHA,10,282500.0,315600.0
SŁAWĘCINEK,10,297500.0,330800.0
SZKOCJA,10,395000.0,405300.0
SZARLEJ,10,67500.0,80598.5
BŁOTO,10,195000.0,198500.0
BĘDZITOWO,10,140000.0,122650.0
RYBITWY,10,120000.0,162156.4
SŁAWKOWO,10,192500.0,204400.0
OBODOWO,10,500000.0,439500.0
PRZY SZOSIE BYDGOSKIEJ,10,299000.0,335600.0
POLICHNO,10,34210.015,158820.009
ROGÓŹNO,10,155000.0,181900.0
PRZYJEZIERZE,10,168500.0,169797.27
POKRZYWNO,10,500000.0,528900.0
CHEŁMCE,10,287500.0,260699.84500000003
MIERZYNEK,10,468125.0,454425.0
LUTÓWKO,10,278500.0,356600.0
MAMLICZ,10,310000.0,319402.8
LASKI MAŁE,10,282500.0,332100.0
ELGISZEWO,10,115000.0,138100.0
DĘBIONEK,10,144500.0,130300.0
KLOCEK,10,405000.0,360299.0
KOŁUDA WIELKA,10,120000.0,122600.0
ŁĄŻYN II,10,170000.0,315500.0
ŚWIĄTKOWO,9,200000.0,152105.55555555556
PRUSKA ŁĄKA,9,148000.0,236367.22222222222
REPTOWO,9,394000.0,409422.22222222225
KORYTOWO,9,189172.0,206114.66666666666
KONSTANTOWO,9,100000.0,184111.11111111112
KOMIEROWO,9,124000.0,110123.88888888889
KOMASZYCE,9,475000.0,419222.22222222225
ZBÓJNO,9,169592.0,175969.11111111112
RULEWO,9,111000.0,159000.0
JAKSICZKI,9,70000.0,95555.55555555556
